time,z,x,y,vel,accel,rot,UserForce,Voltage1,Voltage2,Voltage3
56.00,59.33,38.67,0.00,0.321,0.001,0.15,59.07,,,
57.00,59.50,39.00,0.00,0.322,0.001,0.15,59.26,,,
58.00,59.67,39.33,0.00,0.322,0.000,0.15,59.44,,,
59.00,59.83,39.67,0.00,0.323,0.000,0.15,59.62,,,
60.00,60.00,40.00,0.00,0.323,0.000,0.15,59.80,,,
61.00,60.17,40.33,0.00,0.324,0.000,0.15,59.97,,,
62.00,60.33,40.67,0.00,0.324,0.000,0.14,60.15,,,
63.00,60.50,41.00,0.00,0.325,0.000,0.14,60.32,,,
64.00,60.67,41.33,0.00,0.325,0.000,0.14,60.49,,,
65.00,60.83,41.67,0.00,0.326,0.000,0.14,60.65,,,
66.00,61.00,42.00,0.00,0.326,0.000,0.14,60.82,,,
67.00,61.17,42.33,0.00,0.327,0.000,0.14,60.98,,,
68.00,61.33,42.67,0.00,0.327,0.000,0.14,61.14,,,
69.00,61.50,43.00,0.00,0.327,0.000,0.14,61.30,,,
70.00,61.67,43.33,0.00,0.328,0.000,0.14,61.46,,,
71.00,61.83,43.67,0.00,0.328,0.000,0.13,61.62,,,
72.00,62.00,44.00,0.00,0.329,0.000,0.13,61.77,,,
73.00,62.17,44.33,0.00,0.329,0.000,0.13,61.92,,,
74.00,62.33,44.67,0.00,0.329,0.000,0.13,62.07,,,
75.00,62.50,45.00,0.00,0.330,0.000,0.13,62.22,,,
76.00,62.67,45.33,0.00,0.330,0.000,0.13,62.37,,,
77.00,62.83,45.67,0.00,0.331,0.000,0.13,62.51,,,
78.00,63.00,46.00,0.00,0.331,0.000,0.13,62.66,,,
79.00,63.17,46.33,0.00,0.331,0.000,0.13,62.80,,,
80.00,63.33,46.67,0.00,0.332,0.000,0.12,62.94,,,
81.00,63.50,47.00,0.00,0.332,0.000,0.12,63.08,,,
82.00,63.67,47.33,0.00,0.332,0.000,0.12,63.22,,,
83.00,63.83,47.67,0.00,0.333,0.000,0.12,63.35,,,
84.00,64.00,48.00,0.00,0.333,0.000,0.12,63.49,,,
85.00,64.17,48.33,0.00,0.334,0.000,0.12,63.62,,,
86.00,64.33,48.67,0.00,0.334,0.000,0.12,63.75,,,
87.00,64.50,49.00,0.00,0.334,0.000,0.12,63.88,,,
88.00,64.67,49.33,0.00,0.335,0.000,0.12,64.01,,,
89.00,64.83,49.67,0.00,0.335,0.000,0.12,64.13,,,
90.00,65.00,50.00,0.00,0.335,0.000,0.11,64.26,,,
91.00,65.17,50.33,0.00,0.336,0.000,0.11,64.38,,,
92.00,65.33,50.67,0.00,0.336,0.000,0.11,64.50,,,
93.00,65.50,51.00,0.00,0.336,0.000,0.11,64.62,,,
94.00,65.67,51.33,0.00,0.336,0.000,0.11,64.74,,,
95.00,65.83,51.67,0.00,0.337,0.000,0.11,64.86,,,
96.00,66.00,52.00,0.00,0.337,0.000,0.11,64.98,,,
97.00,66.17,52.33,0.00,0.337,0.000,0.11,65.09,,,
98.00,66.33,52.67,0.00,0.338,0.000,0.11,65.21,,,
99.00,66.50,53.00,0.00,0.338,0.000,0.11,65.32,,,
100.00,66.67,53.33,0.00,0.338,0.000,0.11,65.43,,,
101.00,66.83,53.67,0.00,0.339,0.000,0.10,65.54,,,
102.00,67.00,54.00,0.00,0.339,0.000,0.10,65.65,,,
103.00,67.17,54.33,0.00,0.339,0.000,0.10,65.76,,,
104.00,67.33,54.67,0.00,0.339,0.000,0.10,65.87,,,
105.00,67.50,55.00,0.00,0.340,0.000,0.10,65.97,,,
106.00,67.67,55.33,0.00,0.340,0.000,0.10,66.08,,,
107.00,67.83,55.67,0.00,0.340,0.000,0.10,66.18,,,
108.00,68.00,56.00,0.00,0.340,0.000,0.10,66.29,,,
109.00,68.17,56.33,0.00,0.341,0.000,0.10,66.39,,,
110.00,68.33,56.67,0.00,0.341,0.000,0.10,66.49,,,
111.00,68.50,57.00,0.00,0.341,0.000,0.10,66.59,,,
112.00,68.67,57.33,0.00,0.341,0.000,0.10,66.68,,,
113.00,68.83,57.67,0.00,0.342,0.000,0.10,66.78,,,
114.00,69.00,58.00,0.00,0.342,0.000,0.09,66.88,,,
115.00,69.17,58.33,0.00,0.342,0.000,0.09,66.97,,,
116.00,69.33,58.67,0.00,0.342,0.000,0.09,67.07,,,
117.00,69.50,59.00,0.00,0.343,0.000,0.09,67.16,,,
118.00,69.67,59.33,0.00,0.343,0.000,0.09,67.25,,,
119.00,69.83,59.67,0.00,0.343,0.000,0.09,67.34,,,
120.00,70.00,60.00,0.00,0.343,0.000,0.09,67.43,,,
121.00,70.17,60.33,0.00,0.344,0.000,0.09,67.52,,,
122.00,70.33,60.67,0.00,0.344,0.000,0.09,67.61,,,
123.00,70.50,61.00,0.00,0.344,0.000,0.09,67.70,,,
124.00,70.67,61.33,0.00,0.344,0.000,0.09,67.78,,,
125.00,70.83,61.67,0.00,0.344,0.000,0.09,67.87,,,
126.00,71.00,62.00,0.00,0.345,0.000,0.09,67.95,,,
127.00,71.17,62.33,0.00,0.345,0.000,0.09,68.04,,,
128.00,71.33,62.67,0.00,0.345,0.000,0.09,68.12,,,
129.00,71.50,63.00,0.00,0.345,0.000,0.08,68.20,,,
130.00,71.67,63.33,0.00,0.346,0.000,0.08,68.28,,,
131.00,71.83,63.67,0.00,0.346,0.000,0.08,68.36,,,
132.00,72.00,64.00,0.00,0.346,0.000,0.08,68.44,,,
133.00,72.17,64.33,0.00,0.346,0.000,0.08,68.52,,,
134.00,72.33,64.67,0.00,0.346,0.000,0.08,68.60,,,
135.00,72.50,65.00,0.00,0.347,0.000,0.08,68.68,,,
136.00,72.67,65.33,0.00,0.347,0.000,0.08,68.75,,,
137.00,72.83,65.67,0.00,0.347,0.000,0.08,68.83,,,
138.00,73.00,66.00,0.00,0.347,0.000,0.08,68.90,,,
139.00,73.17,66.33,0.00,0.347,0.000,0.08,68.98,,,
140.00,73.33,66.67,0.00,0.347,0.000,0.08,69.05,,,
141.00,73.50,67.00,0.00,0.348,0.000,0.08,69.12,,,
142.00,73.67,67.33,0.00,0.348,0.000,0.08,69.20,,,
143.00,73.83,67.67,0.00,0.348,0.000,0.08,69.27,,,
144.00,74.00,68.00,0.00,0.348,0.000,0.08,69.34,,,
145.00,74.17,68.33,0.00,0.348,0.000,0.08,69.41,,,
146.00,74.33,68.67,0.00,0.349,0.000,0.07,69.48,,,
147.00,74.50,69.00,0.00,0.349,0.000,0.07,69.54,,,
148.00,74.67,69.33,0.00,0.349,0.000,0.07,69.61,,,
149.00,74.83,69.67,0.00,0.349,0.000,0.07,69.68,,,
150.00,75.00,70.00,0.00,0.349,0.000,0.07,69.75,,,
151.00,75.17,70.33,0.00,0.349,0.000,0.07,69.81,,,
152.00,75.33,70.67,0.00,0.350,0.000,0.07,69.88,,,
153.00,75.50,71.00,0.00,0.350,0.000,0.07,69.94,,,
154.00,75.67,71.33,0.00,0.350,0.000,0.07,70.01,,,
155.00,75.83,71.67,0.00,0.350,0.000,0.07,70.07,,,
156.00,76.00,72.00,0.00,0.350,0.000,0.07,70.13,,,
157.00,76.17,72.33,0.00,0.350,0.000,0.07,70.19,,,
158.00,76.33,72.67,0.00,0.350,0.000,0.07,70.25,,,
159.00,76.50,73.00,0.00,0.351,0.000,0.07,70.32,,,
160.00,76.67,73.33,0.00,0.351,0.000,0.07,70.38,,,
161.00,76.83,73.67,0.00,0.351,0.000,0.07,70.44,,,
162.00,77.00,74.00,0.00,0.351,0.000,0.07,70.49,,,
163.00,77.17,74.33,0.00,0.351,0.000,0.07,70.55,,,
164.00,77.33,74.67,0.00,0.351,0.000,0.07,70.61,,,
165.00,77.50,75.00,0.00,0.352,0.000,0.07,70.67,,,
166.00,77.67,75.33,0.00,0.352,0.000,0.07,70.73,,,
167.00,77.83,75.67,0.00,0.352,0.000,0.07,70.78,,,
168.00,78.00,76.00,0.00,0.352,0.000,0.06,70.84,,,
169.00,78.17,76.33,0.00,0.352,0.000,0.06,70.89,,,
170.00,78.33,76.67,0.00,0.352,0.000,0.06,70.95,,,
171.00,78.50,77.00,0.00,0.352,0.000,0.06,71.00,,,
172.00,78.67,77.33,0.00,0.352,0.000,0.06,71.06,,,
173.00,78.83,77.67,0.00,0.353,0.000,0.06,71.11,,,
174.00,79.00,78.00,0.00,0.353,0.000,0.06,71.16,,,
175.00,79.17,78.33,0.00,0.353,0.000,0.06,71.22,,,
176.00,79.33,78.67,0.00,0.353,0.000,0.06,71.27,,,
177.00,79.50,79.00,0.00,0.353,0.000,0.06,71.32,,,
178.00,79.67,79.33,0.00,0.353,0.000,0.06,71.37,,,
179.00,79.83,79.67,0.00,0.353,0.000,0.06,71.42,,,
180.00,80.00,80.00,0.00,0.353,0.000,0.06,71.47,,,
181.00,79.67,80.00,0.00,0.235,-0.118,0.12,31.59,,,
182.00,79.33,80.00,0.00,0.235,0.000,0.12,31.58,,,
183.00,79.00,80.00,0.00,0.234,0.000,0.12,31.44,,,
184.00,78.67,80.00,0.00,0.234,-0.001,0.12,31.31,,,
185.00,78.33,80.00,0.00,0.233,-0.001,0.12,31.17,,,
186.00,78.00,80.00,0.00,0.233,-0.001,0.12,31.04,,,
187.00,77.67,80.00,0.00,0.232,-0.001,0.12,30.90,,,
188.00,77.33,80.00,0.00,0.232,-0.001,0.12,30.77,,,
189.00,77.00,80.00,0.00,0.231,-0.001,0.12,30.63,,,
190.00,76.67,80.00,0.00,0.231,-0.001,0.12,30.49,,,
191.00,76.33,80.00,0.00,0.230,-0.001,0.12,30.35,,,
192.00,76.00,80.00,0.00,0.230,-0.001,0.13,30.22,,,
193.00,75.67,80.00,0.00,0.229,-0.001,0.13,30.08,,,
194.00,75.33,80.00,0.00,0.229,-0.001,0.13,29.94,,,
195.00,75.00,80.00,0.00,0.228,-0.001,0.13,29.80,,,
196.00,74.67,80.00,0.00,0.228,-0.001,0.13,29.66,,,
197.00,74.33,80.00,0.00,0.227,-0.001,0.13,29.52,,,
198.00,74.00,80.00,0.00,0.227,-0.001,0.13,29.37,,,
199.00,73.67,80.00,0.00,0.226,-0.001,0.13,29.23,,,
200.00,73.33,80.00,0.00,0.226,-0.001,0.13,29.09,,,
201.00,73.00,80.00,0.00,0.225,-0.001,0.13,28.95,,,
202.00,72.67,80.00,0.00,0.224,-0.001,0.13,28.80,,,
203.00,72.33,80.00,0.00,0.224,-0.001,0.13,28.66,,,
204.00,72.00,80.00,0.00,0.223,-0.001,0.13,28.51,,,
205.00,71.67,80.00,0.00,0.223,-0.001,0.13,28.37,,,
206.00,71.33,80.00,0.00,0.222,-0.001,0.13,28.22,,,
207.00,71.00,80.00,0.00,0.222,-0.001,0.13,28.07,,,
208.00,70.67,80.00,0.00,0.221,-0.001,0.13,27.93,,,
209.00,70.33,80.00,0.00,0.220,-0.001,0.13,27.78,,,
210.00,70.00,80.00,0.00,0.220,-0.001,0.13,27.63,,,
211.00,69.67,80.00,0.00,0.219,-0.001,0.14,27.48,,,
212.00,69.33,80.00,0.00,0.219,-0.001,0.14,27.33,,,
213.00,69.00,80.00,0.00,0.218,-0.001,0.14,27.18,,,
214.00,68.67,80.00,0.00,0.217,-0.001,0.14,27.03,,,
215.00,68.33,80.00,0.00,0.217,-0.001,0.14,26.88,,,
216.00,68.00,80.00,0.00,0.216,-0.001,0.14,26.73,,,
217.00,67.67,80.00,0.00,0.216,-0.001,0.14,26.58,,,
218.00,67.33,80.00,0.00,0.215,-0.001,0.14,26.43,,,
219.00,67.00,80.00,0.00,0.214,-0.001,0.14,26.28,,,
220.00,66.67,80.00,0.00,0.214,-0.001,0.14,26.12,,,
221.00,66.33,80.00,0.00,0.213,-0.001,0.14,25.97,,,
222.00,66.00,80.00,0.00,0.212,-0.001,0.14,25.81,,,
223.00,65.67,80.00,0.00,0.212,-0.001,0.14,25.66,,,
224.00,65.33,80.00,0.00,0.211,-0.001,0.14,25.50,,,
225.00,65.00,80.00,0.00,0.211,-0.001,0.14,25.35,,,
226.00,64.67,80.00,0.00,0.210,-0.001,0.14,25.19,,,
227.00,64.33,80.00,0.00,0.209,-0.001,0.14,25.04,,,
228.00,64.00,80.00,0.00,0.209,-0.001,0.15,24.88,,,
229.00,63.67,80.00,0.00,0.208,-0.001,0.15,24.72,,,
230.00,63.33,80.00,0.00,0.207,-0.001,0.15,24.56,,,
231.00,63.00,80.00,0.00,0.207,-0.001,0.15,24.40,,,
232.00,62.67,80.00,0.00,0.206,-0.001,0.15,24.25,,,
233.00,62.33,80.00,0.00,0.205,-0.001,0.15,24.09,,,
234.00,62.00,80.00,0.00,0.205,-0.001,0.15,23.93,,,
235.00,61.67,80.00,0.00,0.204,-0.001,0.15,23.77,,,
236.00,61.33,80.00,0.00,0.203,-0.001,0.15,23.61,,,
237.00,61.00,80.00,0.00,0.202,-0.001,0.15,23.44,,,
238.00,60.67,80.00,0.00,0.202,-0.001,0.15,23.28,,,
239.00,60.33,80.00,0.00,0.201,-0.001,0.15,23.12,,,
240.00,60.00,80.00,0.00,0.200,-0.001,0.15,22.96,,,
241.00,59.67,80.00,0.00,0.200,-0.001,0.15,22.80,,,
242.00,59.33,80.00,0.00,0.199,-0.001,0.15,22.63,,,
243.00,59.00,80.00,0.00,0.198,-0.001,0.15,22.47,,,
244.00,58.67,80.00,0.00,0.197,-0.001,0.15,22.31,,,
245.00,58.33,80.00,0.00,0.197,-0.001,0.16,22.14,,,
246.00,58.00,80.00,0.00,0.196,-0.001,0.16,21.98,,,
247.00,57.67,80.00,0.00,0.195,-0.001,0.16,21.81,,,
248.00,57.33,80.00,0.00,0.195,-0.001,0.16,21.65,,,
249.00,57.00,80.00,0.00,0.194,-0.001,0.16,21.48,,,
250.00,56.67,80.00,0.00,0.193,-0.001,0.16,21.32,,,
251.00,56.33,80.00,0.00,0.192,-0.001,0.16,21.15,,,
252.00,56.00,80.00,0.00,0.192,-0.001,0.16,20.98,,,
253.00,55.67,80.00,0.00,0.191,-0.001,0.16,20.82,,,
254.00,55.33,80.00,0.00,0.190,-0.001,0.16,20.65,,,
255.00,55.00,80.00,0.00,0.189,-0.001,0.16,20.48,,,
256.00,54.67,80.00,0.00,0.188,-0.001,0.16,20.31,,,
257.00,54.33,80.00,0.00,0.188,-0.001,0.16,20.14,,,
258.00,54.00,80.00,0.00,0.187,-0.001,0.16,19.98,,,
259.00,53.67,80.00,0.00,0.186,-0.001,0.16,19.81,,,
260.00,53.33,80.00,0.00,0.185,-0.001,0.16,19.64,,,
261.00,53.00,80.00,0.00,0.184,-0.001,0.17,19.47,,,
262.00,52.67,80.00,0.00,0.184,-0.001,0.17,19.30,,,
263.00,52.33,80.00,0.00,0.183,-0.001,0.17,19.13,,,
264.00,52.00,80.00,0.00,0.182,-0.001,0.17,18.96,,,
265.00,51.67,80.00,0.00,0.181,-0.001,0.17,18.79,,,
266.00,51.33,80.00,0.00,0.180,-0.001,0.17,18.62,,,
267.00,51.00,80.00,0.00,0.180,-0.001,0.17,18.45,,,
268.00,50.67,80.00,0.00,0.179,-0.001,0.17,18.28,,,
269.00,50.33,80.00,0.00,0.178,-0.001,0.17,18.11,,,
270.00,50.00,80.00,0.00,0.177,-0.001,0.17,17.94,,,
271.00,49.67,80.00,0.00,0.176,-0.001,0.17,17.77,,,
272.00,49.33,80.00,0.00,0.175,-0.001,0.17,17.59,,,
273.00,49.00,80.00,0.00,0.175,-0.001,0.17,17.42,,,
274.00,48.67,80.00,0.00,0.174,-0.001,0.17,17.25,,,
275.00,48.33,80.00,0.00,0.173,-0.001,0.17,17.08,,,
276.00,48.00,80.00,0.00,0.172,-0.001,0.18,16.91,,,
277.00,47.67,80.00,0.00,0.171,-0.001,0.18,16.74,,,
278.00,47.33,80.00,0.00,0.170,-0.001,0.18,16.56,,,
279.00,47.00,80.00,0.00,0.169,-0.001,0.18,16.39,,,
280.00,46.67,80.00,0.00,0.168,-0.001,0.18,16.22,,,
281.00,46.33,80.00,0.00,0.168,-0.001,0.18,16.05,,,
282.00,46.00,80.00,0.00,0.167,-0.001,0.18,15.88,,,
283.00,45.67,80.00,0.00,0.166,-0.001,0.18,15.70,,,
284.00,45.33,80.00,0.00,0.165,-0.001,0.18,15.53,,,
285.00,45.00,80.00,0.00,0.164,-0.001,0.18,15.36,,,
286.00,44.67,80.00,0.00,0.163,-0.001,0.18,15.19,,,
287.00,44.33,80.00,0.00,0.162,-0.001,0.18,15.02,,,
288.00,44.00,80.00,0.00,0.161,-0.001,0.18,14.84,,,
289.00,43.67,80.00,0.00,0.160,-0.001,0.18,14.67,,,
290.00,43.33,80.00,0.00,0.159,-0.001,0.18,14.50,,,
291.00,43.00,80.00,0.00,0.158,-0.001,0.18,14.33,,,
292.00,42.67,80.00,0.00,0.157,-0.001,0.19,14.16,,,
293.00,42.33,80.00,0.00,0.156,-0.001,0.19,13.99,,,
294.00,42.00,80.00,0.00,0.155,-0.001,0.19,13.82,,,
295.00,41.67,80.00,0.00,0.154,-0.001,0.19,13.65,,,
296.00,41.33,80.00,0.00,0.153,-0.001,0.19,13.47,,,
297.00,41.00,80.00,0.00,0.153,-0.001,0.19,13.30,,,
298.00,40.67,80.00,0.00,0.152,-0.001,0.19,13.13,,,
299.00,40.33,80.00,0.00,0.151,-0.001,0.19,12.96,,,
300.00,40.00,80.00,0.00,0.150,-0.001,0.19,12.79,,,
301.00,39.67,80.00,0.00,0.149,-0.001,0.19,12.62,,,
302.00,39.33,80.00,0.00,0.148,-0.001,0.19,12.46,,,
303.00,39.00,80.00,0.00,0.147,-0.001,0.19,12.29,,,
304.00,38.67,80.00,0.00,0.146,-0.001,0.19,12.12,,,
305.00,38.33,80.00,0.00,0.145,-0.001,0.19,11.95,,,
306.00,38.00,80.00,0.00,0.144,-0.001,0.19,11.78,,,
307.00,37.67,80.00,0.00,0.143,-0.001,0.20,11.61,,,
308.00,37.33,80.00,0.00,0.141,-0.001,0.20,11.45,,,
309.00,37.00,80.00,0.00,0.140,-0.001,0.20,11.28,,,
310.00,36.67,80.00,0.00,0.139,-0.001,0.20,11.11,,,
311.00,36.33,80.00,0.00,0.138,-0.001,0.20,10.95,,,
312.00,36.00,80.00,0.00,0.137,-0.001,0.20,10.78,,,
313.00,35.67,80.00,0.00,0.136,-0.001,0.20,10.62,,,
314.00,35.33,80.00,0.00,0.135,-0.001,0.20,10.45,,,
315.00,35.00,80.00,0.00,0.134,-0.001,0.20,10.29,,,
316.00,34.67,80.00,0.00,0.133,-0.001,0.20,10.13,,,
317.00,34.33,80.00,0.00,0.132,-0.001,0.20,9.96,,,
318.00,34.00,80.00,0.00,0.131,-0.001,0.20,9.80,,,
319.00,33.67,80.00,0.00,0.130,-0.001,0.20,9.64,,,
320.00,33.33,80.00,0.00,0.129,-0.001,0.20,9.48,,,
321.00,33.00,80.00,0.00,0.128,-0.001,0.20,9.32,,,
322.00,32.67,80.00,0.00,0.127,-0.001,0.20,9.16,,,
323.00,32.33,80.00,0.00,0.125,-0.001,0.20,9.00,,,
324.00,32.00,80.00,0.00,0.124,-0.001,0.21,8.84,,,
325.00,31.67,80.00,0.00,0.123,-0.001,0.21,8.69,,,
326.00,31.33,80.00,0.00,0.122,-0.001,0.21,8.53,,,
327.00,31.00,80.00,0.00,0.121,-0.001,0.21,8.37,,,
328.00,30.67,80.00,0.00,0.120,-0.001,0.21,8.22,,,
329.00,30.33,80.00,0.00,0.119,-0.001,0.21,8.06,,,
330.00,30.00,80.00,0.00,0.118,-0.001,0.21,7.91,,,
331.00,29.67,80.00,0.00,0.116,-0.001,0.21,7.76,,,
332.00,29.33,80.00,0.00,0.115,-0.001,0.21,7.61,,,
333.00,29.00,80.00,0.00,0.114,-0.001,0.21,7.46,,,
334.00,28.67,80.00,0.00,0.113,-0.001,0.21,7.31,,,
335.00,28.33,80.00,0.00,0.112,-0.001,0.21,7.16,,,
336.00,28.00,80.00,0.00,0.111,-0.001,0.21,7.01,,,
337.00,27.67,80.00,0.00,0.110,-0.001,0.21,6.86,,,
338.00,27.33,80.00,0.00,0.108,-0.001,0.21,6.71,,,
339.00,27.00,80.00,0.00,0.107,-0.001,0.21,6.57,,,
340.00,26.67,80.00,0.00,0.106,-0.001,0.21,6.43,,,
341.00,26.33,80.00,0.00,0.105,-0.001,0.22,6.28,,,
342.00,26.00,80.00,0.00,0.104,-0.001,0.22,6.14,,,
343.00,25.67,80.00,0.00,0.102,-0.001,0.22,6.00,,,
344.00,25.33,80.00,0.00,0.101,-0.001,0.22,5.86,,,
345.00,25.00,80.00,0.00,0.100,-0.001,0.22,5.72,,,
346.00,24.67,80.00,0.00,0.099,-0.001,0.22,5.58,,,
347.00,24.33,80.00,0.00,0.098,-0.001,0.22,5.45,,,
348.00,24.00,80.00,0.00,0.096,-0.001,0.22,5.31,,,
349.00,23.67,80.00,0.00,0.095,-0.001,0.22,5.18,,,
350.00,23.33,80.00,0.00,0.094,-0.001,0.22,5.05,,,
351.00,23.00,80.00,0.00,0.093,-0.001,0.22,4.92,,,
352.00,22.67,80.00,0.00,0.091,-0.001,0.22,4.79,,,
353.00,22.33,80.00,0.00,0.090,-0.001,0.22,4.66,,,
354.00,22.00,80.00,0.00,0.089,-0.001,0.22,4.53,,,
355.00,21.67,80.00,0.00,0.088,-0.001,0.22,4.40,,,
356.00,21.33,80.00,0.00,0.087,-0.001,0.22,4.28,,,
357.00,21.00,80.00,0.00,0.085,-0.001,0.22,4.16,,,
358.00,20.67,80.00,0.00,0.084,-0.001,0.22,4.03,,,
359.00,20.33,80.00,0.00,0.083,-0.001,0.22,3.91,,,
360.00,20.00,80.00,0.00,0.081,-0.001,0.22,3.80,,,
361.00,20.17,79.67,0.00,0.283,0.201,0.17,45.88,,,
362.00,20.33,79.33,0.00,0.282,-0.001,0.17,45.45,,,
363.00,20.50,79.00,0.00,0.281,-0.001,0.17,45.21,,,
364.00,20.67,78.67,0.00,0.280,-0.001,0.17,44.97,,,
365.00,20.83,78.33,0.00,0.280,-0.001,0.17,44.74,,,
366.00,21.00,78.00,0.00,0.279,-0.001,0.18,44.50,,,
367.00,21.17,77.67,0.00,0.278,-0.001,0.18,44.25,,,
368.00,21.33,77.33,0.00,0.277,-0.001,0.18,44.01,,,
369.00,21.50,77.00,0.00,0.277,-0.001,0.18,43.77,,,
370.00,21.67,76.67,0.00,0.276,-0.001,0.18,43.52,,,
371.00,21.83,76.33,0.00,0.275,-0.001,0.18,43.27,,,
372.00,22.00,76.00,0.00,0.274,-0.001,0.18,43.02,,,
373.00,22.17,75.67,0.00,0.273,-0.001,0.18,42.76,,,
374.00,22.33,75.33,0.00,0.273,-0.001,0.18,42.51,,,
375.00,22.50,75.00,0.00,0.272,-0.001,0.19,42.25,,,
376.00,22.67,74.67,0.00,0.271,-0.001,0.19,41.99,,,
377.00,22.83,74.33,0.00,0.270,-0.001,0.19,41.73,,,
378.00,23.00,74.00,0.00,0.269,-0.001,0.19,41.47,,,
379.00,23.17,73.67,0.00,0.268,-0.001,0.19,41.21,,,
380.00,23.33,73.33,0.00,0.268,-0.001,0.19,40.94,,,
381.00,23.50,73.00,0.00,0.267,-0.001,0.19,40.67,,,
382.00,23.67,72.67,0.00,0.266,-0.001,0.20,40.40,,,
383.00,23.83,72.33,0.00,0.265,-0.001,0.20,40.13,,,
384.00,24.00,72.00,0.00,0.264,-0.001,0.20,39.86,,,
385.00,24.17,71.67,0.00,0.263,-0.001,0.20,39.58,,,
386.00,24.33,71.33,0.00,0.262,-0.001,0.20,39.30,,,
387.00,24.50,71.00,0.00,0.261,-0.001,0.20,39.02,,,
388.00,24.67,70.67,0.00,0.260,-0.001,0.20,38.74,,,
389.00,24.83,70.33,0.00,0.259,-0.001,0.21,38.46,,,
390.00,25.00,70.00,0.00,0.258,-0.001,0.21,38.17,,,
